date,country,category,rank,title
2025-01-24,world,TV,2,You Gotta Believe
2025-01-24,world,TV,3,Despicable Me 2
2025-01-24,world,TV,4,Despicable Me
2025-01-24,world,TV,5,Hotel Transylvania 2
2025-01-24,world,TV,6,The Secret Life of Pets
2025-01-24,world,TV,7,The Boss Baby
2025-01-24,world,TV,8,Trolls Band Together
2025-01-24,world,TV,9,Ad Vitam
2025-01-24,world,TV,10,The Unbearable Weight of Massive Talent
2025-01-25,world,TV,1,Back in Action
2025-01-25,world,TV,2,You Gotta Believe
2025-01-25,world,TV,3,Despicable Me 2
2025-01-25,world,TV,4,Despicable Me
2025-01-25,world,TV,5,The Sand Castle
2025-01-25,world,TV,6,The Secret Life of Pets
2025-01-25,world,TV,7,Hotel Transylvania 2
2025-01-25,world,TV,8,The Boss Baby
2025-01-25,world,TV,9,Trolls Band Together
2025-01-25,world,TV,10,Ad Vitam
2025-01-26,world,TV,1,Back in Action
2025-01-26,world,TV,2,Scream VI
2025-01-26,world,TV,3,You Gotta Believe
2025-01-26,world,TV,4,Saturday Night
2025-01-26,world,TV,5,Despicable Me 2
2025-01-26,world,TV,6,Despicable Me
2025-01-26,world,TV,7,The Sand Castle
2025-01-26,world,TV,8,The Secret Life of Pets
2025-01-26,world,TV,9,Hotel Transylvania 2
2025-01-26,world,TV,10,Trolls Band Together
2025-01-27,world,TV,1,Back in Action
2025-01-27,world,TV,2,Scream VI
2025-01-27,world,TV,3,Despicable Me 2
2025-01-27,world,TV,4,Saturday Night
2025-01-27,world,TV,5,You Gotta Believe
2025-01-27,world,TV,6,The Sand Castle
2025-01-27,world,TV,7,You Hurt My Feelings
2025-01-27,world,TV,8,Despicable Me
2025-01-27,world,TV,9,The Secret Life of Pets
2025-01-27,world,TV,10,Hotel Transylvania 2
2025-01-28,world,TV,1,Back in Action
2025-01-28,world,TV,2,Scream VI
2025-01-28,world,TV,3,Despicable Me 2
2025-01-28,world,TV,4,Saturday Night
2025-01-28,world,TV,5,You Hurt My Feelings
2025-01-28,world,TV,6,You Gotta Believe
2025-01-28,world,TV,7,The Sand Castle
2025-01-28,world,TV,8,Despicable Me
2025-01-28,world,TV,9,The Secret Life of Pets
2025-01-28,world,TV,10,The Boss Baby
2025-01-29,world,TV,1,Back in Action
2025-01-29,world,TV,2,Scream VI
2025-01-29,world,TV,3,Despicable Me 2
2025-01-29,world,TV,4,Saturday Night
2025-01-29,world,TV,5,Despicable Me
2025-01-29,world,TV,6,The Boss Baby
2025-01-29,world,TV,7,You Gotta Believe
2025-01-29,world,TV,8,The Secret Life of Pets
2025-01-29,world,TV,9,You Hurt My Feelings
2025-01-29,world,TV,10,Trolls Band Together
2025-01-30,world,TV,1,Back in Action
2025-01-30,world,TV,2,Despicable Me 2
2025-01-30,world,TV,3,Scream VI
2025-01-30,world,TV,4,Saturday Night
2025-01-30,world,TV,5,Despicable Me
2025-01-30,world,TV,6,You Hurt My Feelings
2025-01-30,world,TV,7,The Boss Baby
2025-01-30,world,TV,8,The Menu
2025-01-30,world,TV,9,The Secret Life of Pets
2025-01-30,world,TV,10,Trolls Band Together
2025-01-31,world,TV,1,Back in Action
2025-01-31,world,TV,2,Here
2025-01-31,world,TV,3,Despicable Me 2
2025-01-31,world,TV,4,The Menu
2025-01-31,world,TV,5,Scream VI
2025-01-31,world,TV,6,Despicable Me
2025-01-31,world,TV,7,The Boss Baby
2025-01-31,world,TV,8,Saturday Night
2025-01-31,world,TV,9,The Secret Life of Pets
2025-01-31,world,TV,10,Trolls Band Together
2025-02-01,world,TV,1,Back in Action
2025-02-01,world,TV,2,Here
2025-02-01,world,TV,3,The Menu
2025-02-01,world,TV,4,Lucca's World
2025-02-01,world,TV,5,Scream VI
2025-02-01,world,TV,6,The Boss Baby
2025-02-01,world,TV,7,Saturday Night
2025-02-01,world,TV,8,The Secret Life of Pets
2025-02-01,world,TV,9,Trolls Band Together
2025-02-01,world,TV,10,Minions
2025-02-02,world,TV,1,Back in Action
2025-02-02,world,TV,2,Renegades
2025-02-02,world,TV,3,The Menu
2025-02-02,world,TV,4,Lucca's World
2025-02-02,world,TV,5,Here
2025-02-02,world,TV,6,"You, Me and Dupree"
2025-02-02,world,TV,7,Scream VI
2025-02-02,world,TV,8,The Boss Baby
2025-02-02,world,TV,9,Minions
2025-02-02,world,TV,10,The Secret Life of Pets
2025-02-03,world,TV,1,The Menu
2025-02-03,world,TV,2,Back in Action
2025-02-03,world,TV,3,Renegades
2025-02-03,world,TV,4,Lucca's World
2025-02-03,world,TV,5,Here
2025-02-03,world,TV,6,"You, Me and Dupree"
2025-02-03,world,TV,7,The Boss Baby
2025-02-03,world,TV,8,Fallen
2025-02-03,world,TV,9,Minions
2025-02-03,world,TV,10,The Secret Life of Pets
2025-02-04,world,TV,1,The Menu
2025-02-04,world,TV,2,Renegades
2025-02-04,world,TV,3,Back in Action
2025-02-04,world,TV,4,Fallen
2025-02-04,world,TV,5,Lucca's World
2025-02-04,world,TV,6,Bogotá: City of the Lost
2025-02-04,world,TV,7,"You, Me and Dupree"
2025-02-04,world,TV,8,The Boss Baby
2025-02-04,world,TV,9,Here
2025-02-04,world,TV,10,Minions
2025-02-05,world,TV,1,The Menu
2025-02-05,world,TV,2,Renegades
2025-02-05,world,TV,3,Back in Action
2025-02-05,world,TV,4,Fallen
2025-02-05,world,TV,5,"You, Me and Dupree"
2025-02-05,world,TV,6,Lucca's World
2025-02-05,world,TV,7,Bogotá: City of the Lost
2025-02-05,world,TV,8,The Boss Baby
2025-02-05,world,TV,9,Minions
2025-02-05,world,TV,10,The Secret Life of Pets
2025-02-06,world,TV,1,Kinda Pregnant
2025-02-06,world,TV,2,The Menu
2025-02-06,world,TV,3,Renegades
2025-02-06,world,TV,4,Back in Action
2025-02-06,world,TV,5,Fallen
2025-02-06,world,TV,6,The Boss Baby
2025-02-06,world,TV,7,Minions
2025-02-06,world,TV,8,"You, Me and Dupree"
2025-02-06,world,TV,9,The Secret Life of Pets
2025-02-06,world,TV,10,Bogotá: City of the Lost
2025-02-07,world,TV,1,Kinda Pregnant
2025-02-07,world,TV,2,The Menu
2025-02-07,world,TV,3,Back in Action
2025-02-07,world,TV,4,Renegades
2025-02-07,world,TV,5,Fallen
2025-02-07,world,TV,6,The Boss Baby
2025-02-07,world,TV,7,Miss Congeniality
2025-02-07,world,TV,8,Minions
2025-02-07,world,TV,9,The Secret Life of Pets
2025-02-07,world,TV,10,Bogotá: City of the Lost
2025-02-08,world,TV,1,Kinda Pregnant
2025-02-08,world,TV,2,The Menu
2025-02-08,world,TV,3,Back in Action
2025-02-08,world,TV,4,Miss Congeniality
2025-02-08,world,TV,5,Fallen
2025-02-08,world,TV,6,Renegades
2025-02-08,world,TV,7,The Boss Baby
2025-02-08,world,TV,8,How to Train Your Dragon 2
2025-02-08,world,TV,9,Minions
2025-02-08,world,TV,10,How to Train Your Dragon
2025-02-09,world,TV,1,Kinda Pregnant
2025-02-09,world,TV,2,The Menu
2025-02-09,world,TV,3,Back in Action
2025-02-09,world,TV,4,Miss Congeniality
2025-02-09,world,TV,5,Fallen
2025-02-09,world,TV,6,How to Train Your Dragon 2
2025-02-09,world,TV,7,How to Train Your Dragon
2025-02-09,world,TV,8,Renegades
2025-02-09,world,TV,9,Spencer
2025-02-09,world,TV,10,Minions
2025-02-10,world,TV,1,Kinda Pregnant
2025-02-10,world,TV,2,Uncle Drew
2025-02-10,world,TV,3,The Menu
2025-02-10,world,TV,4,Miss Congeniality
2025-02-10,world,TV,5,Back in Action
2025-02-10,world,TV,6,How to Train Your Dragon 2
2025-02-10,world,TV,7,How to Train Your Dragon
2025-02-10,world,TV,8,Fallen
2025-02-10,world,TV,9,Richie Rich
2025-02-10,world,TV,10,Minions
2025-02-11,world,TV,1,Kinda Pregnant
2025-02-11,world,TV,2,Aftermath
2025-02-11,world,TV,3,Uncle Drew
2025-02-11,world,TV,4,The Menu
2025-02-11,world,TV,5,Miss Congeniality
2025-02-11,world,TV,6,How to Train Your Dragon 2
2025-02-11,world,TV,7,Richie Rich
2025-02-11,world,TV,8,How to Train Your Dragon
2025-02-11,world,TV,9,Back in Action
2025-02-11,world,TV,10,Sing
2025-02-12,world,TV,1,Aftermath
2025-02-12,world,TV,2,Kinda Pregnant
2025-02-12,world,TV,3,Uncle Drew
2025-02-12,world,TV,4,The Witcher: Sirens of the Deep
2025-02-12,world,TV,5,The Menu
2025-02-12,world,TV,6,Back in Action
2025-02-12,world,TV,7,Miss Congeniality
2025-02-12,world,TV,8,Richie Rich
2025-02-12,world,TV,9,How to Train Your Dragon 2
2025-02-12,world,TV,10,Sing
2025-02-13,world,TV,1,Aftermath
2025-02-13,world,TV,2,Kinda Pregnant
2025-02-13,world,TV,3,Uncle Drew
2025-02-13,world,TV,4,The Menu
2025-02-13,world,TV,5,Rogue Agent
2025-02-13,world,TV,6,Miss Congeniality
2025-02-13,world,TV,7,Rambo: Last Blood
2025-02-13,world,TV,8,The Witcher: Sirens of the Deep
2025-02-13,world,TV,9,Richie Rich
2025-02-13,world,TV,10,Honeymoon Crasher
2025-02-14,world,TV,1,La Dolce Villa
2025-02-14,world,TV,2,Aftermath
2025-02-14,world,TV,3,Kinda Pregnant
2025-02-14,world,TV,4,Trial by Fire
2025-02-14,world,TV,5,Rambo: Last Blood
2025-02-14,world,TV,6,Uncle Drew
2025-02-14,world,TV,7,Sing
2025-02-14,world,TV,8,The Menu
2025-02-14,world,TV,9,Miss Congeniality
2025-02-14,world,TV,10,Honeymoon Crasher
2025-02-15,world,TV,1,La Dolce Villa
2025-02-15,world,TV,2,Aftermath
2025-02-15,world,TV,3,Trial by Fire
2025-02-15,world,TV,4,Kinda Pregnant
2025-02-15,world,TV,5,Rambo: Last Blood
2025-02-15,world,TV,6,Honeymoon Crasher
2025-02-15,world,TV,7,Uncle Drew
2025-02-15,world,TV,8,Sing
2025-02-15,world,TV,9,Rambo
2025-02-15,world,TV,10,Miss Congeniality
2025-02-16,world,TV,1,La Dolce Villa
2025-02-16,world,TV,2,Aftermath
2025-02-16,world,TV,3,Trial by Fire
2025-02-16,world,TV,4,Kinda Pregnant
2025-02-16,world,TV,5,Rambo: Last Blood
2025-02-16,world,TV,6,Honeymoon Crasher
2025-02-16,world,TV,7,Uncle Drew
2025-02-16,world,TV,8,Rambo
2025-02-16,world,TV,9,Sing
2025-02-16,world,TV,10,Back in Action
2025-02-17,world,TV,1,La Dolce Villa
2025-02-17,world,TV,2,Aftermath
2025-02-17,world,TV,3,Trial by Fire
2025-02-17,world,TV,4,Don't Let Go
2025-02-17,world,TV,5,Honeymoon Crasher
2025-02-17,world,TV,6,Kinda Pregnant
2025-02-17,world,TV,7,Rambo: Last Blood
2025-02-17,world,TV,8,Rambo
2025-02-17,world,TV,9,Uncle Drew
2025-02-17,world,TV,10,Back in Action
2025-02-18,world,TV,1,La Dolce Villa
2025-02-18,world,TV,2,Aftermath
2025-02-18,world,TV,3,Trial by Fire
2025-02-18,world,TV,4,Don't Let Go
2025-02-18,world,TV,5,Honeymoon Crasher
2025-02-18,world,TV,6,Kinda Pregnant
2025-02-18,world,TV,7,Rambo: Last Blood
2025-02-18,world,TV,8,Sing
2025-02-18,world,TV,9,Rambo
2025-02-18,world,TV,10,Heart of Champions
2025-02-19,world,TV,1,Trial by Fire
2025-02-19,world,TV,2,La Dolce Villa
2025-02-19,world,TV,3,Aftermath
2025-02-19,world,TV,4,Don't Let Go
2025-02-19,world,TV,5,Honeymoon Crasher
2025-02-19,world,TV,6,Heart of Champions
2025-02-19,world,TV,7,Rambo: Last Blood
2025-02-19,world,TV,8,Sing
2025-02-19,world,TV,9,Kinda Pregnant
2025-02-19,world,TV,10,Rambo
2025-02-20,world,TV,1,To Catch a Killer
2025-02-20,world,TV,2,Trial by Fire
2025-02-20,world,TV,3,La Dolce Villa
2025-02-20,world,TV,4,Aftermath
2025-02-20,world,TV,5,Don't Let Go
2025-02-20,world,TV,6,Honeymoon Crasher
2025-02-20,world,TV,7,Heart of Champions
2025-02-20,world,TV,8,Sing
2025-02-20,world,TV,9,Rambo: Last Blood
2025-02-20,world,TV,10,Kinda Pregnant
2025-02-21,world,TV,1,To Catch a Killer
2025-02-21,world,TV,2,Trial by Fire
2025-02-21,world,TV,3,La Dolce Villa
2025-02-21,world,TV,4,Aftermath
2025-02-21,world,TV,5,Don't Let Go
2025-02-21,world,TV,6,Sing
2025-02-21,world,TV,7,Ted 2
2025-02-21,world,TV,8,Honeymoon Crasher
2025-02-21,world,TV,9,Minions
2025-02-21,world,TV,10,Rambo: Last Blood
2025-02-22,world,TV,1,To Catch a Killer
2025-02-22,world,TV,2,Trial by Fire
2025-02-22,world,TV,3,Ted 2
2025-02-22,world,TV,4,La Dolce Villa
2025-02-22,world,TV,5,Don't Let Go
2025-02-22,world,TV,6,Aftermath
2025-02-22,world,TV,7,Sing
2025-02-22,world,TV,8,Minions
2025-02-22,world,TV,9,Rambo: Last Blood
2025-02-22,world,TV,10,Honeymoon Crasher
2025-02-23,world,TV,1,To Catch a Killer
2025-02-23,world,TV,2,Trial by Fire
2025-02-23,world,TV,3,Ted 2
2025-02-23,world,TV,4,La Dolce Villa
2025-02-23,world,TV,5,Don't Let Go
2025-02-23,world,TV,6,Aftermath
2025-02-23,world,TV,7,Sing
2025-02-23,world,TV,8,Minions
2025-02-23,world,TV,9,Honeymoon Crasher
2025-02-23,world,TV,10,Heart of Champions
2025-02-24,world,TV,1,To Catch a Killer
2025-02-24,world,TV,2,Trial by Fire
2025-02-24,world,TV,3,Ted 2
2025-02-24,world,TV,4,Don't Let Go
2025-02-24,world,TV,5,La Dolce Villa
2025-02-24,world,TV,6,Heart of Champions
2025-02-24,world,TV,7,Aftermath
2025-02-24,world,TV,8,The Sum of All Fears
2025-02-24,world,TV,9,Sing
2025-02-24,world,TV,10,Minions
2025-02-25,world,TV,1,To Catch a Killer
2025-02-25,world,TV,2,Trial by Fire
2025-02-25,world,TV,3,Ted 2
2025-02-25,world,TV,4,The Sum of All Fears
2025-02-25,world,TV,5,Heart of Champions
2025-02-25,world,TV,6,Don't Let Go
2025-02-25,world,TV,7,Minions
2025-02-25,world,TV,8,Sing
2025-02-25,world,TV,9,La Dolce Villa
2025-02-25,world,TV,10,Aftermath
2025-02-26,world,TV,1,Venom: The Last Dance
2025-02-26,world,TV,2,To Catch a Killer
2025-02-26,world,TV,3,Watcher
2025-02-26,world,TV,4,Trial by Fire
2025-02-26,world,TV,5,Ted 2
2025-02-26,world,TV,6,The Sum of All Fears
2025-02-26,world,TV,7,Minions
2025-02-26,world,TV,8,Sing
2025-02-26,world,TV,9,Heart of Champions
2025-02-26,world,TV,10,The Secret Life of Pets
2025-02-27,world,TV,1,Venom: The Last Dance
2025-02-27,world,TV,2,Dungeons & Dragons: Honor Among Thieves
2025-02-27,world,TV,3,Watcher
2025-02-27,world,TV,4,To Catch a Killer
2025-02-27,world,TV,5,Trial by Fire
2025-02-27,world,TV,6,Ted 2
2025-02-27,world,TV,7,Minions
2025-02-27,world,TV,8,Sing
2025-02-27,world,TV,9,A Copenhagen Love Story
2025-02-27,world,TV,10,The Sum of All Fears
2025-02-28,world,TV,1,Venom: The Last Dance
2025-02-28,world,TV,2,Dungeons & Dragons: Honor Among Thieves
2025-02-28,world,TV,3,Watcher
2025-02-28,world,TV,4,To Catch a Killer
2025-02-28,world,TV,5,Demon City
2025-02-28,world,TV,6,Ted 2
2025-02-28,world,TV,7,Minions
2025-02-28,world,TV,8,Sing
2025-02-28,world,TV,9,Trial by Fire
2025-02-28,world,TV,10,Peter Rabbit
2025-03-01,world,TV,1,Despicable Me 4
2025-03-01,world,TV,2,Counterattack
2025-03-01,world,TV,3,Venom: The Last Dance
2025-03-01,world,TV,4,Dungeons & Dragons: Honor Among Thieves
2025-03-01,world,TV,5,Watcher
2025-03-01,world,TV,6,To Catch a Killer
2025-03-01,world,TV,7,Sonic the Hedgehog 2
2025-03-01,world,TV,8,Demon City
2025-03-01,world,TV,9,Ted 2
2025-03-01,world,TV,10,Squad 36
2025-03-02,world,TV,1,Despicable Me 4
2025-03-02,world,TV,2,Counterattack
2025-03-02,world,TV,3,Venom: The Last Dance
2025-03-02,world,TV,4,Sicario
2025-03-02,world,TV,5,Sonic the Hedgehog 2
2025-03-02,world,TV,6,Dungeons & Dragons: Honor Among Thieves
2025-03-02,world,TV,7,To Catch a Killer
2025-03-02,world,TV,8,Watcher
2025-03-02,world,TV,9,Squad 36
2025-03-02,world,TV,10,Annie
2025-03-03,world,TV,1,Despicable Me 4
2025-03-03,world,TV,2,Counterattack
2025-03-03,world,TV,3,Venom: The Last Dance
2025-03-03,world,TV,4,Sicario
2025-03-03,world,TV,5,Sonic the Hedgehog 2
2025-03-03,world,TV,6,Dungeons & Dragons: Honor Among Thieves
2025-03-03,world,TV,7,Midnight in the Switchgrass
2025-03-03,world,TV,8,Runaway Jury
2025-03-03,world,TV,9,Squad 36
2025-03-03,world,TV,10,To Catch a Killer
2025-03-04,world,TV,1,Despicable Me 4
2025-03-04,world,TV,2,Counterattack
2025-03-04,world,TV,3,Sicario
2025-03-04,world,TV,4,Venom: The Last Dance
